name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
dataset_file_acylca,stem,4f25cbc6842bd1eb,59e9444be35144d7,2c530c1562a7fbd1,-1464835178,,2025-09-17T04:17:06Z,2d61bd51e36d0c49,78411,file,local,vector,NA,,1.978,NA,NA
fmetadata_file_aa,stem,de4e9e0d8a921b12,148ef161bef73653,2c530c1562a7fbd1,-2048919721,,2025-09-17T04:17:06Z,65c08e467882f526,10792,file,local,vector,NA,,0,NA,NA
fmetadata_file_mrnaseq,stem,461f0b421d996ea8,eab5a888d72cd635,2c530c1562a7fbd1,-1307965499,,2025-09-17T04:17:07Z,1bfd8614519f5d81,513454,file,local,vector,NA,,0.001,NA,NA
fmetadata_file_acylca,stem,288715ba492d8ef2,fdae1bf1c2314747,2c530c1562a7fbd1,1675649515,,2025-09-17T04:17:06Z,7e9825e6bbd0cafb,10741,file,local,vector,NA,,0,NA,NA
dataset_file_lipido_pos,stem,8aa3d1e0cb1d3f52,b4fb537007ef9006,2c530c1562a7fbd1,-1159125131,,2025-09-17T04:17:06Z,96aa666423e58542,423357,file,local,vector,NA,,0,NA,NA
mad_spec,stem,b6bd3e04a6f4e017,cad538347b6d56a9,2c530c1562a7fbd1,2143113597,,2025-09-17T06:42:21Z,0f65c402456378e1,219,rds,local,group,NA,,0.011,NA,NA
splsda_spec,stem,35f6abbeefb06559,18c89c67914a4774,2c530c1562a7fbd1,1619589238,,2025-09-17T06:42:21Z,cb5de256bff6bdf1,247,rds,local,group,NA,,0.008,NA,NA
dataset_file_proteo,stem,32ed39fd36544d0b,f0fa3f4dfda010a1,2c530c1562a7fbd1,-877312087,,2025-09-17T04:17:07Z,4d84d9d9daab0194,3004553,file,local,vector,NA,,0.001,NA,NA
dataset_file_emseq,stem,c607b557587b58f4,31f4a5e9f6f56a6b,2c530c1562a7fbd1,1794083220,,2025-09-17T04:17:08Z,b9ed86d6f37a4a1d,243832274,file,local,vector,NA,,0,NA,NA
fmetadata_file_emseq,stem,7e8b86236ea39d3d,b264b85be22bef6a,2c530c1562a7fbd1,466122499,,2025-09-17T04:17:08Z,6004efb3a10e0073,2525862,file,local,vector,NA,,0,NA,NA
fmetadata_file_mirnaseq,stem,691e98672f0c370d,e0c5f8fa9a3e07ae,2c530c1562a7fbd1,-443490177,,2025-09-17T04:17:07Z,3ef1ac09952891fc,302928,file,local,vector,NA,,0,NA,NA
fmetadata_file_lipido_pos,stem,abd822be8c3f049b,c2a8e139652292ec,2c530c1562a7fbd1,1915619961,,2025-09-17T04:17:07Z,78f1e8f36abb874c,51248,file,local,vector,NA,,0,NA,NA
dataset_file_lipido_neg,stem,c4acc51343402cec,9534b5a457a94306,2c530c1562a7fbd1,-726263249,,2025-09-17T04:17:07Z,fd3f78809bf9d703,354358,file,local,vector,NA,,0.001,NA,NA
fmetadata_file_proteo,stem,2d02c5a7a6d62209,cbd714ea0df555aa,2c530c1562a7fbd1,-388623210,,2025-09-17T04:17:07Z,f895d6be0f8f6813,164095,file,local,vector,NA,,0,NA,NA
dataset_file_mirnaseq,stem,e46f1da639f9bc47,8e1ce01a18e02d3c,2c530c1562a7fbd1,-531217265,,2025-09-17T04:17:07Z,bc9e9369ac8191a3,2946276,file,local,vector,NA,,0.001,NA,NA
transformations_spec,stem,ba0ca7fcbaa7c44c,c4694e97f1c62d5b,2c530c1562a7fbd1,-1051236836,,2025-09-17T06:42:21Z,6ce28c86f98a8d6a,265,rds,local,group,NA,,0.009,NA,NA
fmetadata_file_lipido_neg,stem,de6d0653d3c6d53e,f824d7ce5094b00b,2c530c1562a7fbd1,950507319,,2025-09-17T04:17:07Z,3418a127a9440d53,43658,file,local,vector,NA,,0.001,NA,NA
smetadata_file_all,stem,d6cd8590d75e78b3,74570665172fbb53,2c530c1562a7fbd1,-715721292,,2025-09-17T04:17:06Z,142f9465455fdab1,28414,file,local,vector,NA,,0,NA,NA
dataset_file_mrnaseq,stem,14084768a69fbab9,467d18a72f168dd2,2c530c1562a7fbd1,-1162432694,,2025-09-17T04:17:07Z,1eb0bc3316337b2a,34371960,file,local,vector,NA,,0,NA,NA
dataset_file_aa,stem,2704e039bf73623c,fbcc6d6d72eb4dd1,2c530c1562a7fbd1,1100644924,,2025-09-17T04:17:06Z,f208373aa4b4549f,108245,file,local,vector,NA,,0.001,NA,NA
data_acylca,stem,f9e3c006b7793896,551fd0246e1a44ac,7554b9ca8f7b2068,-1280147165,,2025-09-17T06:42:22Z,77f4657533015c01,14892,rds,local,vector,NA,,0.462,NA,NA
fmetadata_aa,stem,6c8d811f422a319a,29fed3945016fe86,4324b5608d133b44,1479578223,,2025-09-17T06:42:22Z,9a33a0de70c6d3d8,2930,rds,local,vector,NA,,0.128,NA,NA
fmetadata_mrnaseq,stem,54c891c7f4299c56,8984ce8c68c9c539,739242ecb6365b11,-527656027,,2025-09-17T06:42:22Z,0a313826636837f8,118338,rds,local,vector,NA,,0.102,NA,NA
fmetadata_acylca,stem,566cfefe58b66798,c5fa93437589ccb2,67553163dbec69fd,1499073785,,2025-09-17T06:42:22Z,cfe88aee32a4ed2f,2576,rds,local,vector,NA,,0.079,NA,NA
data_lipido_pos,stem,da169e310dad5b0c,2a0511ba98ebe8c2,90a969299ec06728,1004249370,,2025-09-17T06:42:22Z,ba181ef38b684974,187120,rds,local,vector,NA,,0.152,NA,NA
data_proteo,stem,95bc74d9c284d984,97324e0183c38151,812a019cfd01dd80,-565353005,,2025-09-17T06:42:23Z,2e2f600d8ffa8e30,1314326,rds,local,vector,NA,,0.927,NA,NA
data_emseq,stem,69f4dcd2cd3bf68e,a83ec31daef17e76,e076eb9e6c9d9b9c,2010048773,,2025-09-17T06:42:31Z,88c097cffd023b30,91412063,rds,local,vector,NA,,2.934,NA,NA
fmetadata_emseq,stem,2fba0b6cab2e9821,856f8d508ccdbd42,f338ddb334c61910,-1817081782,,2025-09-17T06:42:32Z,b7deb4fcd9adb415,1775345,rds,local,vector,NA,,0.174,NA,NA
fmetadata_mirnaseq,stem,2e77dd3f0f03c395,bbf5f7fea301fd37,828380d8fbdda7e6,-864279146,,2025-09-17T06:42:32Z,dba9690ba6cf5465,80024,rds,local,vector,NA,,0.083,NA,NA
fmetadata_lipido_pos,stem,7966740b3d8827dd,0830280a09c3c3a6,791eccc50c2c571d,1099198403,,2025-09-17T06:42:32Z,55445f3cbf5839fb,10189,rds,local,vector,NA,,0.092,NA,NA
data_lipido_neg,stem,da7236411dcf0600,bcc8f0495bb71a9c,db06cf4b4e63da8f,-1154695491,,2025-09-17T06:42:32Z,f2fb3588a7222a2c,155714,rds,local,vector,NA,,0.117,NA,NA
fmetadata_proteo,stem,882a26f169617b47,89578c92615ef444,c1c932ddb4534dfd,-1926016130,,2025-09-17T06:42:32Z,572f625a2d9b43e3,34562,rds,local,vector,NA,,0.08,NA,NA
data_mirnaseq,stem,7f6c1902a2332c4f,999e89cada6ace45,3e5d9f44a928a719,198472132,,2025-09-17T06:42:33Z,38d42c6576325242,1415126,rds,local,vector,NA,,0.259,NA,NA
fmetadata_lipido_neg,stem,f68947772becab91,d7e4931b317a32b7,d8b6b789064d324c,-1742763785,,2025-09-17T06:42:33Z,da94d8a647f2acc3,8832,rds,local,vector,NA,,0.086,NA,NA
