name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
data_geno,stem,8bd14981afbef3c6,c3e94b33713b1720,5c0151d20e53bf2e,2134509784,,2025-09-08T03:23:52Z,33af15239745b32b,1616600,rds,local,vector,NA,,0.378,NA,NA
data_metabo,stem,e3dd5898a0051355,9191b8e90623cefb,2e00534aa33a9fd3,1018261260,,2025-09-08T03:23:21Z,bfc6f87982e4e4d7,19249,rds,local,vector,NA,,0.133,NA,NA
data_transcripto,stem,469300e7b13900ad,5b5c6b5df3646442,84721813e4381c60,511155924,,2025-09-08T03:23:24Z,57e5f282d6f44dfb,6494110,rds,local,vector,NA,,0.847,NA,NA
dataset_file_geno,stem,08b634e8125402e0,a613b66f52691eb9,2c530c1562a7fbd1,424923185,,2025-09-03T03:46:06Z,e96edcfc6133282a,6850822,file,local,vector,NA,,0.001,NA,NA
dataset_file_metabo,stem,13f8d6625d529edb,ab68c0736503e976,2c530c1562a7fbd1,-507344675,,2025-09-03T03:46:06Z,48082ea13f705f59,35815,file,local,vector,NA,,0,NA,NA
dataset_file_transcripto,stem,00c4af38bb41821b,34ff675d0f6675e8,2c530c1562a7fbd1,-616412981,,2025-09-03T03:46:06Z,8cc2ab3b122d4649,10702704,file,local,vector,NA,,0.001,NA,NA
dataset_names_pca,stem,0bce909e1f0df9af,5b63ddbad2aea073,4302a97b1b391124,814327623,,2025-09-08T03:25:18Z,e12065d620e41fd5,76,rds,local,vector,NA,,0.001,NA,NA
density_plot_transformed,stem,30541f6f9a1ecb61,ad4ce7b8ea3ea54e,4302a97b1b391124,225199550,,2025-09-08T03:25:17Z,33c6c9b975f63a52,171805180,rds,local,vector,NA,,4.144,NA,NA
diablo_design_matrix,stem,246f6325558846f6,6c59707b2c123b13,eca4b178dfb7ff2a,1803846500,,2025-09-08T04:19:54Z,f84fd0305bad89a6,150,rds,local,vector,NA,,0.001,NA,NA
diablo_final_run,stem,ee8c45240972fc6e,09dd6afde9b58618,0da5a636fbf96934,778782705,,2025-09-08T04:54:27Z,15e19d4c24729e47,1124196,rds,local,vector,NA,,0.16,NA,NA
