name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
reduced_individual_splsda_input,pattern,200cfa11f7540be2,cb3e603f0b5c625f,NA,1909466522,,NA,NA,1597259,rds,local,list,NA,,0.355,NA,NA
full_individual_splsda_perf_f50a157ce556265c,branch,f85101fb2f3ed1f7,e0aee696c5463de7,616008ddb1926ba1,-1783709968,,2025-09-17T01:51:53Z,1f7b0333cdb090cb,564895,rds,local,list,full_individual_splsda_perf,,3965.452,NA,NA
full_individual_splsda_perf,pattern,3aecb6af72773b7e,e0aee696c5463de7,NA,305253647,,NA,NA,564895,rds,local,list,NA,,3965.452,NA,NA
reduced_individual_splsda_perf_6958a2ca72e0b0c3,branch,0cb84f05fca8ab86,144aa574904f3ea6,f01c4625468cd172,1193008724,,2025-09-17T02:07:45Z,9434480ac9ed0f73,565251,rds,local,list,reduced_individual_splsda_perf,,952.22,NA,NA
reduced_individual_splsda_perf,pattern,4d8d870f8d027b01,144aa574904f3ea6,NA,-1033679487,,NA,NA,565251,rds,local,list,NA,,952.22,NA,NA
full_individual_splsda_run_e58c64b6ddf76aaf,branch,a170e1a705844e5e,511b1503ce0d7187,804db500f6fc0231,-1117785275,,2025-09-17T02:07:52Z,52fa6efbcc41be60,17211379,rds,local,list,full_individual_splsda_run,,1.793,Unknown or uninitialised column sr.,NA
full_individual_splsda_run,pattern,a457570643736147,511b1503ce0d7187,NA,1813735446,,NA,NA,17211379,rds,local,list,NA,,1.793,NA,NA
reduced_individual_splsda_run_d5c6fa3c85ec15cb,branch,d1aa2a89083b5990,bac46d7fdd35441f,f2fb50843b4ee8c2,1086779765,,2025-09-17T02:07:54Z,f02c0e325dd88a41,4784427,rds,local,list,reduced_individual_splsda_run,,0.451,Unknown or uninitialised column sr.,NA
reduced_individual_splsda_run,pattern,119bc5168b2aef29,bac46d7fdd35441f,NA,178199045,,NA,NA,4784427,rds,local,list,NA,,0.451,NA,NA
mo_presel_supervised_full,stem,c12b8aa55dc8da41,5f84a34229728505,2e35d84c03a14e55,-372552733,,2025-09-17T02:08:01Z,43b935bed5a52a32,14702508,rds,local,vector,NA,,0.117,NA,NA
mo_presel_supervised_reduced,stem,c5a67d4b6572942e,7a150a39c60621f4,4264492d1c1f6c7b,-2029367152,,2025-09-17T02:08:03Z,60c4cb9146daee8a,4644991,rds,local,vector,NA,,0.048,NA,NA
